hungry		29 Jul 2014 06:27:29 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
Hungry Alert Service Called		29 Jul 2014 06:27:29 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:27:36 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 06:27:36 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:27:40 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 06:27:40 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:27:42 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 06:27:42 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:27:46 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 06:27:46 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:27:51 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 06:27:51 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:27:55 GMT	209 Brush Creek Blvd, Kansas City, United States	
Emergency Alert Service Called		29 Jul 2014 06:27:55 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:28:00 GMT	209 Brush Creek Blvd, Kansas City, United States	
Thirsty Alert Service Called		29 Jul 2014 06:28:00 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 06:28:01 GMT	209 Brush Creek Blvd, Kansas City, United States	
`Games Service Called		29 Jul 2014 06:28:01 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 06:28:03 GMT	209 Brush Creek Blvd, Kansas City, United States	
2048 game starts	29 Jul 2014 06:28:03 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:28:16 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:28:20 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 06:28:24 GMT	209 Brush Creek Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:28:26 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 06:28:28 GMT	209 Brush Creek Blvd, Kansas City, United States	
The 2048 Game Ends 	29 Jul 2014 06:28:28 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:28:38 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:28:41 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
game		29 Jul 2014 06:28:45 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
2048 game starts	29 Jul 2014 06:28:46 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:28:56 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:28:59 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:29:01 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:29:09 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
thirsty		29 Jul 2014 06:29:45 GMT	209 Brush Creek Blvd, Kansas City, United States	
game		29 Jul 2014 06:29:47 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 06:29:49 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:29:52 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:29:54 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 06:29:56 GMT	209 Brush Creek Blvd, Kansas City, United States	
The 2048 Game Ends 	29 Jul 2014 06:29:57 GMT	209 Brush Creek Blvd, Kansas City, United States	
exit		29 Jul 2014 06:30:00 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
Games Service End Called		29 Jul 2014 06:30:00 GMT	Emanuel Cleaver II Blvd, Kansas City, United States	
game		29 Jul 2014 06:39:52 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
`Games Service Called		29 Jul 2014 06:39:52 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
game		29 Jul 2014 06:39:58 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
2048 game starts	29 Jul 2014 06:39:58 GMT	209 Emanuel Cleaver II Blvd, Kansas City, United States	
game		29 Jul 2014 06:40:05 GMT	209 Brush Creek Blvd, Kansas City, United States	
hungry		29 Jul 2014 06:40:12 GMT	209 Brush Creek Blvd, Kansas City, United States	
emergency		29 Jul 2014 06:40:18 GMT	209 Brush Creek Blvd, Kansas City, United States	
